"DESCRIPCIONG1","DESCRIPCIONG2","DESCRIPCIONG3","DESCRIPCIONG4","DESCRIPCIONG5","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL20","CODIGOG1","CODIGOG2","CODIGOG3","CODIGOG4","CODIGOG5"
"SERVICIO DE APOYO A LA JUVENTUD","SIN PROYECTO","ADMINISTRACION DE LA ATENCION INTEGRAL A LA JUVENTUD","BIENES Y SERVICIOS DE CONSUMO","Servicio de Capacitacion","3756","2744","6500","0","311.5","311.5","311.5","6188.5","6188.5","0","4.79","31","31 00 000","31 00 000 001 000"," 530000"," 530603 0200 001"
"SERVICIO DE APOYO A LA JUVENTUD","SIN PROYECTO","ADMINISTRACION DE LA ATENCION INTEGRAL A LA JUVENTUD","BIENES Y SERVICIOS DE CONSUMO","Difusion  Informacion y Publicidad","563.4","-563.4","0","0","0","0","0","0","0","0","0","31","31 00 000","31 00 000 001 000"," 530000"," 530207 0200 001"
"SERVICIO DE APOYO A LA JUVENTUD","SIN PROYECTO","ADMINISTRACION DE LA ATENCION INTEGRAL A LA JUVENTUD","BIENES Y SERVICIOS DE CONSUMO","Espectaculos Culturales y Sociales","5008","-8","5000","384","1616","1616","1616","3384","3384","0","32.32","31","31 00 000","31 00 000 001 000"," 530000"," 530205 0200 001"
"SERVICIO DE APOYO A LA JUVENTUD","SIN PROYECTO","ADMINISTRACION DE LA ATENCION INTEGRAL A LA JUVENTUD","BIENES Y SERVICIOS DE CONSUMO","Viaticos y Subsistencias en el Interior","375.6","224.4","600","0","219","219","219","381","381","0","36.5","31","31 00 000","31 00 000 001 000"," 530000"," 530303 0200 001"
"SERVICIO DE APOYO A LA JUVENTUD","SIN PROYECTO","ADMINISTRACION DE LA ATENCION INTEGRAL A LA JUVENTUD","BIENES Y SERVICIOS DE CONSUMO","Edicion  Impresion  Reproduccion y Publicaciones","438.2","1061.8","1500","0","1500","1500","1500","0","0","0","100","31","31 00 000","31 00 000 001 000"," 530000"," 530204 0200 001"
"SERVICIO DE APOYO A LA JUVENTUD","SIN PROYECTO","ADMINISTRACION DE LA ATENCION INTEGRAL A LA JUVENTUD","BIENES Y SERVICIOS DE CONSUMO","Publicidad y Propaganda en Medios de Comunicación Masiva","0","600","600","0","0","0","0","600","600","0","0","31","31 00 000","31 00 000 001 000"," 530000"," 530218 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","SIN PROYECTO","ADMINISTRACION DE LA ATENCION GERONTOLOGICA","BIENES Y SERVICIOS DE CONSUMO","Materiales de Aseo","1252","-1252","0","0","0","0","0","0","0","0","0","25","25 00 000","25 00 000 001 000"," 530000"," 530805 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","SIN PROYECTO","ADMINISTRACION DE LA ATENCION GERONTOLOGICA","BIENES Y SERVICIOS DE CONSUMO","Alimentos y Bebidas","6260","-6260","0","0","0","0","0","0","0","0","0","25","25 00 000","25 00 000 001 000"," 530000"," 530801 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","SIN PROYECTO","ADMINISTRACION DE LA ATENCION GERONTOLOGICA","BIENES Y SERVICIOS DE CONSUMO","Servicio de Capacitacion","5634","1866","7500","0","0","0","0","7500","7500","0","0","25","25 00 000","25 00 000 001 000"," 530000"," 530603 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","SIN PROYECTO","ADMINISTRACION DE LA ATENCION GERONTOLOGICA","BIENES Y SERVICIOS DE CONSUMO","Difusion  Informacion y Publicidad","2201.96","-2201.96","0","0","0","0","0","0","0","0","0","25","25 00 000","25 00 000 001 000"," 530000"," 530207 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","SIN PROYECTO","ADMINISTRACION DE LA ATENCION GERONTOLOGICA","BIENES Y SERVICIOS DE CONSUMO","Espectaculos Culturales y Sociales","7512","6688","14200","0","0","0","0","14200","14200","0","0","25","25 00 000","25 00 000 001 000"," 530000"," 530205 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","SIN PROYECTO","ADMINISTRACION DE LA ATENCION GERONTOLOGICA","BIENES Y SERVICIOS DE CONSUMO","Medicinas y Productos Farmaceuticos","3756","-3756","0","0","0","0","0","0","0","0","0","25","25 00 000","25 00 000 001 000"," 530000"," 530809 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","SIN PROYECTO","ADMINISTRACION DE LA ATENCION GERONTOLOGICA","BIENES Y SERVICIOS DE CONSUMO","Viaticos y Subsistencias en el Interior","500.8","299.2","800","0","0","0","0","800","800","0","0","25","25 00 000","25 00 000 001 000"," 530000"," 530303 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","SIN PROYECTO","ADMINISTRACION DE LA ATENCION GERONTOLOGICA","BIENES Y SERVICIOS DE CONSUMO","Edicion  Impresion  Reproduccion y Publicaciones","1252","148","1400","0","0","0","0","1400","1400","0","0","25","25 00 000","25 00 000 001 000"," 530000"," 530204 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","SIN PROYECTO","ADMINISTRACION DE LA ATENCION GERONTOLOGICA","BIENES Y SERVICIOS DE CONSUMO","Publicidad y Propaganda en Medios de Comunicación Masiva","0","800","800","0","0","0","0","800","800","0","0","25","25 00 000","25 00 000 001 000"," 530000"," 530218 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","SIN PROYECTO","SUBVENCIONES A INSTITUCIONES QUE REALIZAN ACCIONES CON GRUPOS DE LA TERCERA EDAD","TRANSFERENCIAS Y DONACIONES CORRIENTES","Al Sector Privado no Financiero","105708.59","-31050.72","74657.87","0","68035.87","51026.9","51026.9","6622","23630.97","0","68.35","25","25 00 000","25 00 000 002 000"," 580000"," 580204 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","SIN PROYECTO","SUBVENCIONES A INSTITUCIONES QUE REALIZAN ACCIONES CON GRUPOS DE LA TERCERA EDAD","TRANSFERENCIAS Y DONACIONES CORRIENTES","Asignacion a Distribuir para Transferencias y Donaciones Corrientes","0","0","0","0","0","0","0","0","0","0","0","25","25 00 000","25 00 000 002 000"," 580000"," 589901 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","INFRAESTRUCTURA GERONTOLOGICA","AMPLIACION Y READECUACION Y TERMINACION DE CENTROS GERONTOLOGICOS","BIENES DE LARGA DURACION","Mobiliarios","0","5118.67","5118.67","5118.67","0","0","0","5118.67","5118.67","0","0","25","25 00 001","25 00 001 001 000"," 840000"," 840103 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","INFRAESTRUCTURA GERONTOLOGICA","AMPLIACION Y READECUACION Y TERMINACION DE CENTROS GERONTOLOGICOS","BIENES DE LARGA DURACION","Maquinarias y Equipos","0","9520.81","9520.81","9520.81","0","0","0","9520.81","9520.81","0","0","25","25 00 001","25 00 001 001 000"," 840000"," 840104 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","INFRAESTRUCTURA GERONTOLOGICA","AMPLIACION Y READECUACION Y TERMINACION DE CENTROS GERONTOLOGICOS","BIENES DE LARGA DURACION","Equipos  Sistemas y Paquetes Informaticos","0","608.21","608.21","608.21","0","0","0","608.21","608.21","0","0","25","25 00 001","25 00 001 001 000"," 840000"," 840107 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","INFRAESTRUCTURA GERONTOLOGICA","AMPLIACION Y READECUACION Y TERMINACION DE CENTROS GERONTOLOGICOS","BIENES Y SERVICIOS PARA INVERSION","Mobiliarios","0","600","600","600","0","0","0","600","600","0","0","25","25 00 001","25 00 001 001 000"," 730000"," 730403 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","INFRAESTRUCTURA GERONTOLOGICA","AMPLIACION Y READECUACION Y TERMINACION DE CENTROS GERONTOLOGICOS","BIENES Y SERVICIOS PARA INVERSION","Edificios  Locales y Residencias","0","28357.93","28357.93","20497.93","0","0","0","28357.93","28357.93","0","0","25","25 00 001","25 00 001 001 000"," 730000"," 730402 0200 001"
"SERVICIOS DE ATENCION GERONTOLOGICA","INFRAESTRUCTURA GERONTOLOGICA","AMPLIACION Y READECUACION Y TERMINACION DE CENTROS GERONTOLOGICOS","BIENES Y SERVICIOS PARA INVERSION","Otros de Uso y Consumo de Inversion","0","5794.38","5794.38","5794.38","0","0","0","5794.38","5794.38","0","0","25","25 00 001","25 00 001 001 000"," 730000"," 730899 0200 001"
"SISTEMA DE INCLUSION Y COHESION SOCIAL","SIN PROYECTO","PROTECCION ESPECIAL","TRANSFERENCIAS Y DONACIONES CORRIENTES","Al Sector Privado no Financiero","0","40000","40000","0","40000","20000","20000","0","20000","0","50","05","05 00 000","05 00 000 004 000"," 580000"," 580204 0200 001"
"SISTEMA DE INCLUSION Y COHESION SOCIAL","SIN PROYECTO","PROTECCION ESPECIAL","TRANSFERENCIAS Y DONACIONES CORRIENTES","Asignacion a Distribuir para Transferencias y Donaciones Corrientes","0","0","0","0","0","0","0","0","0","0","0","05","05 00 000","05 00 000 004 000"," 580000"," 589901 0200 001"
"ADMINISTRACION GESTION Y APOYO DE PROTECCION SOCIAL","SIN PROYECTO","ADMINISTRACION GENERAL PARA EL MINISTERIO DE INCLUSION ECONOMICA Y SOCIAL - PLANTA CENTRAL","BIENES DE LARGA DURACION","Mobiliarios","0","646.88","646.88","0","0","0","0","646.88","646.88","0","0","01","01 00 000","01 00 000 001 000"," 840000"," 840103 0200 001"
"ADMINISTRACION GESTION Y APOYO DE PROTECCION SOCIAL","SIN PROYECTO","ADMINISTRACION GENERAL PARA EL MINISTERIO DE INCLUSION ECONOMICA Y SOCIAL - PLANTA CENTRAL","BIENES DE LARGA DURACION","Maquinarias y Equipos","0","4000","4000","0","2899","2899","2899","1101","1101","0","72.48","01","01 00 000","01 00 000 001 000"," 840000"," 840104 0200 001"
"ADMINISTRACION GESTION Y APOYO DE PROTECCION SOCIAL","SIN PROYECTO","ADMINISTRACION GENERAL PARA EL MINISTERIO DE INCLUSION ECONOMICA Y SOCIAL - PLANTA CENTRAL","BIENES DE LARGA DURACION","Equipos  Sistemas y Paquetes Informaticos","0","350","350","0","0","0","0","350","350","0","0","01","01 00 000","01 00 000 001 000"," 840000"," 840107 0200 001"
"ADMINISTRACION GESTION Y APOYO DE PROTECCION SOCIAL","SIN PROYECTO","ADMINISTRACION GENERAL PARA EL MINISTERIO DE INCLUSION ECONOMICA Y SOCIAL - PLANTA CENTRAL","BIENES Y SERVICIOS DE CONSUMO","Vehiculos","2504","996","3500","0","593.73","593.73","593.73","2906.27","2906.27","0","16.96","01","01 00 000","01 00 000 001 000"," 530000"," 530405 0200 001"
"ADMINISTRACION GESTION Y APOYO DE PROTECCION SOCIAL","SIN PROYECTO","ADMINISTRACION GENERAL PARA EL MINISTERIO DE INCLUSION ECONOMICA Y SOCIAL - PLANTA CENTRAL","BIENES Y SERVICIOS DE CONSUMO","Mobiliarios","626","-526","100","0","0","0","0","100","100","0","0","01","01 00 000","01 00 000 001 000"," 530000"," 530403 0200 001"
"ADMINISTRACION GESTION Y APOYO DE PROTECCION SOCIAL","SIN PROYECTO","ADMINISTRACION GENERAL PARA EL MINISTERIO DE INCLUSION ECONOMICA Y SOCIAL - PLANTA CENTRAL","BIENES Y SERVICIOS DE CONSUMO","Agua Potable","500.99","-300.99","200","0","60","60","60","140","140","0","30","01","01 00 000","01 00 000 001 000"," 530000"," 530101 0200 001"
"ADMINISTRACION GESTION Y APOYO DE PROTECCION SOCIAL","SIN PROYECTO","ADMINISTRACION GENERAL PARA EL MINISTERIO DE INCLUSION ECONOMICA Y SOCIAL - PLANTA CENTRAL","BIENES Y SERVICIOS DE CONSUMO","Energia Electrica","3130","1870","5000","0","2404.71","2404.71","2404.71","2595.29","2595.29","0","48.09","01","01 00 000","01 00 000 001 000"," 530000"," 530104 0200 001"
"ADMINISTRACION GESTION Y APOYO DE PROTECCION SOCIAL","SIN PROYECTO","ADMINISTRACION GENERAL PARA EL MINISTERIO DE INCLUSION ECONOMICA Y SOCIAL - PLANTA CENTRAL","BIENES Y SERVICIOS DE CONSUMO","Materiales de Aseo","525.84","24.16","550","0","476.91","476.91","476.91","73.09","73.09","0","86.71","01","01 00 000","01 00 000 001 000"," 530000"," 530805 0200 001"
"ADMINISTRACION GESTION Y APOYO DE PROTECCION SOCIAL","SIN PROYECTO","ADMINISTRACION GENERAL PARA EL MINISTERIO DE INCLUSION ECONOMICA Y SOCIAL - PLANTA CENTRAL","BIENES Y SERVICIOS DE CONSUMO","Servicio de Correo","876.4","203.6","1080","0","456.01","456.01","456.01","623.99","623.99","0","42.22","01","01 00 000","01 00 000 001 000"," 530000"," 530106 0200 001"
