"DESCRIPCIONG1","DESCRIPCIONG2","DESCRIPCIONG3","DESCRIPCIONG4","DESCRIPCIONG5","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL20","CODIGOG1","CODIGOG2","CODIGOG3","CODIGOG4","CODIGOG5"
"ADOPCIONES","ADOPCIONES","ADOPCIONES","BIENES DE LARGA DURACION","Mobiliarios","0","273","273","0","0","0","0","273","273","0","0","14 00 025","14","14 00 025 001 000"," 840000"," 840103 0000 001"
"ADOPCIONES","ADOPCIONES","ADOPCIONES","BIENES DE LARGA DURACION","Maquinarias y Equipos","0","2127","2127","0","2127","2127","2127","0","0","0","100","14 00 025","14","14 00 025 001 000"," 840000"," 840104 0000 001"
"ADOPCIONES","ADOPCIONES","ADOPCIONES","BIENES Y SERVICIOS PARA INVERSION","Infraestructura","0","10600","10600","10600","0","0","0","10600","10600","0","0","14 00 025","14","14 00 025 001 000"," 730000"," 730417 0000 001"
"ADOPCIONES","ADOPCIONES","ADOPCIONES","BIENES Y SERVICIOS PARA INVERSION","Otros Servicios","0","28400","28400","0","4728.91","4728.91","4728.91","23671.09","23671.09","0","16.65","14 00 025","14","14 00 025 001 000"," 730000"," 730299 0900 001"
"ADOPCIONES","ADOPCIONES","ADOPCIONES","BIENES Y SERVICIOS PARA INVERSION","Alimentos y Bebidas","0","14342.08","14342.08","2257.96","3060.1","3060.1","3060.1","11281.98","11281.98","0","21.34","14 00 025","14","14 00 025 001 000"," 730000"," 730801 0100 001"
"ADOPCIONES","ADOPCIONES","ADOPCIONES","BIENES Y SERVICIOS PARA INVERSION","Alimentos y Bebidas","0","32000","32000","22566.95","9433.05","9433.05","9433.05","22566.95","22566.95","0","29.48","14 00 025","14","14 00 025 001 000"," 730000"," 730801 1700 001"
"ADOPCIONES","ADOPCIONES","ADOPCIONES","BIENES Y SERVICIOS PARA INVERSION","Pasajes al Interior","0","10000","10000","10000","0","0","0","10000","10000","0","0","14 00 025","14","14 00 025 001 000"," 730000"," 730301 0100 001"
"ADOPCIONES","ADOPCIONES","ADOPCIONES","BIENES Y SERVICIOS PARA INVERSION","Pasajes al Interior","0","1500","1500","0","185.28","185.28","185.28","1314.72","1314.72","0","12.35","14 00 025","14","14 00 025 001 000"," 730000"," 730301 0900 001"
"ADOPCIONES","ADOPCIONES","ADOPCIONES","BIENES Y SERVICIOS PARA INVERSION","Pasajes al Interior","0","2000","2000","1584.4","415.6","415.6","415.6","1584.4","1584.4","0","20.78","14 00 025","14","14 00 025 001 000"," 730000"," 730301 1700 001"
"ADOPCIONES","ADOPCIONES","ADOPCIONES","BIENES Y SERVICIOS PARA INVERSION","Servicio de Capacitacion","0","8050","8050","1075.25","6974.75","6974.75","6974.75","1075.25","1075.25","0","86.64","14 00 025","14","14 00 025 001 000"," 730000"," 730603 0000 001"
"ADOPCIONES","ADOPCIONES","ADOPCIONES","BIENES Y SERVICIOS PARA INVERSION","Otros de Uso y Consumo de Inversion","0","5000","5000","0","0","0","0","5000","5000","0","0","14 00 025","14","14 00 025 001 000"," 730000"," 730899 0100 001"
